Genot,Temp,Family,meangr
XA15,25,A,3.18904272722504
XA15,30,A,4.06413742690059
XA15,35,A,4.51167034719666
XA15,37.5,A,3.9225
XA15,40,A,2.81971451231878
XA16,20,A,2.25452898550725
XA16,25,A,3.11180313239953
XA16,30,A,3.87222222222222
XA16,35,A,4.62270948853135
XA16,37.5,A,4.32580409356725
XA16,40,A,2.92430645391845
XA17,20,A,2.26403985507246
XA17,25,A,3.07308213615172
XA17,30,A,3.805
XA17,35,A,4.41670500552079
XA17,37.5,A,3.9175
XA17,40,A,2.70577992662593
XA18,20,A,2.10076992753623
XA18,25,A,2.90348873328428
XA18,30,A,3.68111111111111
XA18,35,A,4.21387529137529
XA18,37.5,A,3.86055555555556
XA18,40,A,2.33775473419837
XA19,20,A,2.17934782608696
XA19,25,A,2.90576993859892
XA19,30,A,3.63638888888889
XA19,35,A,3.74374514374514
XA19,37.5,A,3.47397897897898
XA19,40,A,2.50570635184785
XA2,20,A,2.38994565217391
XA2,25,A,3.37849115491037
XA2,30,A,4.30818713450292
XA2,35,A,4.72531872367399
XA2,37.5,A,4.05777777777778
XA2,40,A,2.8643059166733
XA20,20,A,2.11616847826087
XA20,25,A,2.94464258509104
XA20,30,A,3.72
XA20,35,A,3.88936006853522
XA20,37.5,A,3.44916666666667
XA20,40,A,2.54915851662627
XA21,20,A,2.2638134057971
XA21,25,A,3.14566599659276
XA21,30,A,3.995
XA21,35,A,4.58300873103505
XA21,37.5,A,4.08898391812865
XA21,40,A,2.90270421090161
XA22,20,A,2.25566123188406
XA22,25,A,3.00182834627352
XA22,30,A,3.9871783625731
XA22,35,A,4.02510233918129
XA22,37.5,A,3.74722222222222
XA22,40,A,2.41379360753628
XA23,20,A,2.27898550724638
XA23,25,A,3.15478373760128
XA23,30,A,3.88998015873016
XA23,35,A,4.5406621886885
XA23,37.5,A,3.85222222222222
XA23,40,A,1.74853168496119
XA24,20,A,2.24660326086956
XA24,25,A,3.25976443146203
XA24,30,A,4.03888888888889
XA24,35,A,4.15199845468594
XA24,37.5,A,3.93527777777778
XA24,40,A,2.76835144927536
XA25,20,A,2.11571557971014
XA25,25,A,2.96942403378482
XA25,30,A,3.56777777777778
XA25,35,A,3.8581868069699
XA25,37.5,A,3.58021021021021
XA25,40,A,2.58072463768116
XA26,20,A,2.26086956521739
XA26,25,A,3.14101410362327
XA26,30,A,4.03805555555556
XA26,35,A,4.27595412628307
XA26,37.5,A,4.10837719298246
XA26,40,A,2.56938921002292
XA27,20,A,2.74026268115942
XA27,25,A,3.2309874831163
XA27,30,A,3.94666666666667
XA27,35,A,4.50606643356643
XA27,37.5,A,4.04222222222222
XA27,40,A,2.62418916422339
XA28,20,A,2.10665760869565
XA28,25,A,2.98192196743271
XA28,30,A,3.77111111111111
XA28,35,A,3.86602398732745
XA28,37.5,A,3.65978603603604
XA28,40,A,2.38115176332927
XA29,20,A,2.24139492753623
XA29,25,A,3.21355641584721
XA29,30,A,3.89333333333333
XA29,35,A,3.98952348624446
XA29,37.5,A,3.65666666666667
XA29,40,A,2.31902556365976
XA3,20,A,2.17255434782609
XA3,25,A,2.90696794870579
XA3,30,A,3.845
XA3,35,A,4.25674968306547
XA3,37.5,A,3.95388888888889
XA3,40,A,2.73795765849654
XA30,20,A,2.27309782608696
XA30,25,A,3.23677349149985
XA30,30,A,4.10010964912281
XA30,35,A,4.12183290393817
XA30,37.5,A,3.78666666666667
XA30,40,A,2.69946256038647
XA31,20,A,2.38088768115942
XA31,25,A,3.36527535996695
XA31,30,A,4.50712719298246
XA31,35,A,4.60446749887539
XA31,37.5,A,4.065
